recipe_slug,recipe_title,pdf_page,image_file
italian-baked-eggs,"Italian Baked Eggs",10,images/italian-baked-eggs.jpg
biscoff-french-toast,"Biscoff French Toast",11,images/biscoff-french-toast.jpg
brekky-burger,"Brekky Burger",12,images/brekky-burger.jpg
biscoff-weetbix,"Biscoff Weetbix",13,images/biscoff-weetbix.jpg
caramilk-baked-oats,"Caramilk Baked Oats",14,images/caramilk-baked-oats.jpg
shakshuka,"Shakshuka",15,images/shakshuka.jpg
fruit-and-cereal-bowl,"Fruit and Cereal Bowl",16,images/fruit-and-cereal-bowl.jpg
scrambled-egg-and-smoked-salmon-bagel,"Scrambled Egg and Smoked Salmon Bagel",17,images/scrambled-egg-and-smoked-salmon-bagel.jpg
brekky-pizza,"Brekky Pizza",18,images/brekky-pizza.jpg
overnight-oats,"Overnight Oats",19,images/overnight-oats.jpg
chili-garlic-prawn-bowl,"Chili Garlic Prawn Bowl",21,images/chili-garlic-prawn-bowl.jpg
vietnamese-beef-salad-serves-4,"Vietnamese Beef Salad Serves 4",22,images/vietnamese-beef-salad-serves-4.jpg
miso-chicken-rice-bowl-makes-5-serves,"Miso Chicken Rice Bowl Makes 5 serves",23,images/miso-chicken-rice-bowl-makes-5-serves.jpg
creamy-nandos-pasta,"Creamy Nandos Pasta",24,images/creamy-nandos-pasta.jpg
buffalo-chicken-mac-and-cheese,"Buffalo Chicken Mac & Cheese",25,images/buffalo-chicken-mac-and-cheese.jpg
meatball-pasta-bake-4-servings,"Meatball Pasta Bake (4 Servings)",26,images/meatball-pasta-bake-4-servings.jpg
teriyaki-chicken-bowl,"Teriyaki Chicken Bowl",27,images/teriyaki-chicken-bowl.jpg
mac-and-cheese,"Mac & Cheese",28,images/mac-and-cheese.jpg
chicken-pesto-pasta,"Chicken Pesto Pasta",29,images/chicken-pesto-pasta.jpg
hoisin-beef-noodles-4-servings,"Hoisin Beef Noodles 4 Servings",30,images/hoisin-beef-noodles-4-servings.jpg
kung-pao-chicken-5-servings,"Kung Pao Chicken 5 Servings",31,images/kung-pao-chicken-5-servings.jpg
weeknight-potato-gnocci,"Weeknight Potato Gnocci",33,images/weeknight-potato-gnocci.jpg
chicken-gyros,"Chicken Gyros",34,images/chicken-gyros.jpg
anabolic-parmy,"Anabolic Parmy",35,images/anabolic-parmy.jpg
teriyaki-salmon-bites,"Teriyaki Salmon Bites",36,images/teriyaki-salmon-bites.jpg
vermicelli-chicken-noodle-salad,"Vermicelli Chicken Noodle Salad",37,images/vermicelli-chicken-noodle-salad.jpg
bbq-meat-lovers-pizza,"BBQ Meat Lovers Pizza",38,images/bbq-meat-lovers-pizza.jpg
haloumi-and-roast-pumpkin-salad,"Haloumi & Roast Pumpkin Salad",39,images/haloumi-and-roast-pumpkin-salad.jpg
beef-nachos,"Beef Nachos",40,images/beef-nachos.jpg
greek-turkey-burger,"Greek Turkey Burger",41,images/greek-turkey-burger.jpg
sticky-bbq-chicken,"Sticky BBQ Chicken",42,images/sticky-bbq-chicken.jpg
the-buff-mac,"The Buff Mac",43,images/the-buff-mac.jpg
loaded-sweet-potatoes-per-serve-makes-4,"Loaded Sweet Potatoes (per serve, makes 4)",44,images/loaded-sweet-potatoes-per-serve-makes-4.jpg
biscoff-lava-cake,"Biscoff Lava Cake",46,images/biscoff-lava-cake.jpg
cadbury-skillet-cookie,"Cadbury Skillet Cookie",47,images/cadbury-skillet-cookie.jpg
oreo-protein-shake,"Oreo Protein Shake",48,images/oreo-protein-shake.jpg
nutella-donuts-6-servings-per-serve,"Nutella Donuts 6 servings (per serve)",49,images/nutella-donuts-6-servings-per-serve.jpg
chocolate-chunk-sundae,"Chocolate Chunk Sundae",50,images/chocolate-chunk-sundae.jpg
mini-apple-crumble,"Mini Apple Crumble",51,images/mini-apple-crumble.jpg
protein-iced-coffee,"Protein Iced Coffee",52,images/protein-iced-coffee.jpg
pb-and-j-toasted-sanga,"PB & J Toasted Sanga",53,images/pb-and-j-toasted-sanga.jpg
nutella-protein-balls-9-servings-per-serve,"Nutella Protein Balls 9 Servings (per serve)",54,images/nutella-protein-balls-9-servings-per-serve.jpg
chocolate-crepes,"Chocolate Crepes",55,images/chocolate-crepes.jpg
chipotle-queso-loaded-fries,"Chipotle Queso Loaded Fries",57,images/chipotle-queso-loaded-fries.jpg
kfc-zinger-stacker,"KFC Zinger Stacker",58,images/kfc-zinger-stacker.jpg
balsamic-chicken-sanga,"Balsamic Chicken Sanga",59,images/balsamic-chicken-sanga.jpg
chicken-parmy-sanga,"Chicken Parmy Sanga",60,images/chicken-parmy-sanga.jpg
double-smash-burger,"Double Smash Burger",61,images/double-smash-burger.jpg
lazy-parmy-sanga,"Lazy Parmy Sanga",62,images/lazy-parmy-sanga.jpg
philly-cheese-steak,"Philly Cheese Steak",63,images/philly-cheese-steak.jpg
folded-omelette-bagel,"Folded Omelette Bagel",64,images/folded-omelette-bagel.jpg
cheesy-brekky-burger,"Cheesy Brekky Burger",65,images/cheesy-brekky-burger.jpg